ecoregion,scientific_name,common_name,class,conservation_status,is_venomous,is_invasive,habitat_type
Amazon and Guianas,Ara macao,Scarlet macaw,AVES,LC,false,false,Rainforest canopy
Amazon and Guianas,Ara ararauna,Blue-and-yellow macaw,AVES,LC,false,false,Forest and woodland
Amazon and Guianas,Harpia harpyja,Harpy eagle,AVES,VU,false,false,Emergent canopy
Amazon and Guianas,Ramphastos toco,Toco toucan,AVES,LC,false,false,Forest edges
Amazon and Guianas,Ramphastos sulfuratus,Keel-billed toucan,AVES,LC,false,false,Lowland rainforest
Amazon and Guianas,Baryphthengus martii,Rufous motmot,AVES,LC,false,false,Dense forest understory
Amazon and Guianas,Opisthocomus hoazin,Hoatzin,AVES,LC,false,false,Riverine forest
Amazon and Guianas,Topaza pella,Crimson topaz,AVES,LC,false,false,Forest streams
Amazon and Guianas,Trogon curucui,Blue-crowned trogon,AVES,LC,false,false,Forest and woodland
Amazon and Guianas,Chloroceryle americana,Green kingfisher,AVES,LC,false,false,Rivers and streams
Amazon and Guianas,Cotinga cayana,Spangled cotinga,AVES,LC,false,false,Rainforest canopy
Amazon and Guianas,Nyctibius grandis,Great potoo,AVES,LC,false,false,Forest and savanna
