ecoregion,scientific_name,common_name,class,conservation_status,is_venomous,is_invasive,habitat_type
Congo Basin,Hydrocynus goliath,Goliath tigerfish,ACTINOPTERYGII,LC,false,false,Large rivers and lakes
Congo Basin,Protopterus annectens,African lungfish,ACTINOPTERYGII,LC,false,false,Swamps and slow rivers
Congo Basin,Oreochromis niloticus,Nile tilapia,ACTINOPTERYGII,LC,false,false,Rivers and lakes
Congo Basin,Coptodon zillii,Redbelly tilapia,ACTINOPTERYGII,LC,false,false,Shallow waters
Congo Basin,Schilbe mystus,African butter catfish,ACTINOPTERYGII,LC,false,false,Rivers and streams
Congo Basin,Clarias gariepinus,African sharptooth catfish,ACTINOPTERYGII,LC,false,false,Rivers and wetlands
Congo Basin,Phenacogrammus interruptus,Congo tetra,ACTINOPTERYGII,LC,false,false,Forest streams
Congo Basin,Synodontis nigriventris,Upside-down catfish,ACTINOPTERYGII,LC,false,false,Rivers and pools
Congo Basin,Gnathonemus petersii,Elephant nose fish,ACTINOPTERYGII,LC,false,false,Muddy rivers
Congo Basin,Heterotis niloticus,African arowana,ACTINOPTERYGII,LC,false,false,Swamps and rivers
Congo Basin,Hepsetus odoe,African pike,ACTINOPTERYGII,LC,false,false,Rivers and lakes
Congo Basin,Pseudotropheus demasoni,Demasoni cichlid,ACTINOPTERYGII,EN,false,false,Rocky areas
Congo Basin,Distichodus sexfasciatus,Six-banded distichodus,ACTINOPTERYGII,LC,false,false,Rivers and streams
Congo Basin,Mormyrus rume,Rume mormyrid,ACTINOPTERYGII,LC,false,false,Large rivers
