ecoregion,scientific_name,common_name,class,conservation_status,habitat_type,image_url,attribution,description,species_id
Amazon and Guianas,Aromobates walterarpi,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/d/d2/Allobates_femoralis.jpg,Wikimedia Commons,"Aromobates walterarpi, or Arp's rocket frog, is a species of frog in the family Aromobatidae.",d3483af1-e310-420d-9c25-11ac04df4d12
Amazon and Guianas,Pristimantis spilogaster,,AMPHIBIA,CR,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis spilogaster is a species of frog in the family Strabomantidae.,88ff559b-8a65-4173-aabc-653a0e4db94e
Amazon and Guianas,Gastrotheca christiani,,AMPHIBIA,CR,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/1/17/Hemiphractus_fasciatus_panamajuly2011.jpg,Wikimedia Commons,Gastrotheca christiani is a species of frog in the family Hemiphractidae.,36487e1d-ab04-4140-b268-2389ade47693
Amazon and Guianas,Gastrotheca christiani,,AMPHIBIA,CR,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/1/17/Hemiphractus_fasciatus_panamajuly2011.jpg,Wikimedia Commons,Gastrotheca christiani is a species of frog in the family Hemiphractidae.,c204038f-6798-4063-b907-686623992747
Amazon and Guianas,Strabomantis necerus,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,"Strabomantis necerus, also known as the Mindo robber frog or hornless groundfrog, is a species of frog in the family Strabomantidae.",112a7d7a-2ab6-4247-9a18-da9e0ba856b1
Amazon and Guianas,Strabomantis necerus,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,"Strabomantis necerus, also known as the Mindo robber frog or hornless groundfrog, is a species of frog in the family Strabomantidae.",b0eb44c5-8a5e-426c-b69f-9fe19f1df67e
Amazon and Guianas,Atelopus petriruizi,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bufo_periglenes2.jpg,Wikimedia Commons,Atelopus petriruizi is a species of toad in the family Bufonidae.,9120d77a-240d-4601-8be1-78319185c487
Amazon and Guianas,Pristimantis mallii,,AMPHIBIA,CR,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/3/33/Pristimantis_mallii_C.jpg,Wikimedia Commons,"Pristimantis mallii is a species of frog in the family Strabomantidae. It is endemic to Ecuador. Described in 2019, it is only known from the Río Zuñag Reserve on the eastern slope of the Andes, in the upper basin of the Pastaza River. The specific name mallii honors V. N. Mallikarjuna ""Malli"" Rao, winner of Lavoisier Medal who helped develop an environmentally safe alternative to the fluorocarbons and whose donation helped establish the Río Zuñag Reserve. Common name Malli's rain frog has been coined for this species.",903d47ce-90bf-4abb-b9f8-d6903c0ca7a9
Amazon and Guianas,Leucostethus bilsa,,AMPHIBIA,CR,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/9/97/Poison_dart_frog_-_cobalt_tinc.jpg,Wikimedia Commons,"Leucostethus bilsa, the Bilsa white-chested frog, is a species of frog in the family Dendrobatidae.",98b5455b-d1a0-4ace-bb3e-322f5cd48c05
Amazon and Guianas,Atelopus longirostris,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/b/bf/Atelopus_longirostris_female.jpg,Wikimedia Commons,"Atelopus longirostris is a species of harlequin frog, a member of the family of true toads (Bufonidae). It has been recorded only in northern Ecuador. Records from Colombia probably represent different species. Once listed as extinct by the IUCN, it was rediscovered in 2016 after more than two decade with no sightings.",c984a27c-b39d-4366-82b1-e73db62f430f
Amazon and Guianas,Atelopus longirostris,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/b/bf/Atelopus_longirostris_female.jpg,Wikimedia Commons,"Atelopus longirostris is a species of harlequin frog, a member of the family of true toads (Bufonidae). It has been recorded only in northern Ecuador. Records from Colombia probably represent different species. Once listed as extinct by the IUCN, it was rediscovered in 2016 after more than two decade with no sightings.",ae6136ab-8217-4d7a-95a9-5fcc07801824
Amazon and Guianas,Atelopus longirostris,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/b/bf/Atelopus_longirostris_female.jpg,Wikimedia Commons,"Atelopus longirostris is a species of harlequin frog, a member of the family of true toads (Bufonidae). It has been recorded only in northern Ecuador. Records from Colombia probably represent different species. Once listed as extinct by the IUCN, it was rediscovered in 2016 after more than two decade with no sightings.",b9c8fe4c-73d2-4d54-b4c5-f5a1b024f6a9
Amazon and Guianas,Hyloxalus anthracinus,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/e/ee/Hyloxalus_anthracinus_31642907_%28cropped%29.jpg,Wikimedia Commons,"Hyloxalus anthracinus is a species of frog in the family Dendrobatidae. It is endemic to Ecuador and occurs on the Cordillera Oriental and in the Mazán River, southern Ecuador.",bd667ceb-a95e-4601-ba01-00d4aedfb78f
Amazon and Guianas,Hyloxalus anthracinus,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/e/ee/Hyloxalus_anthracinus_31642907_%28cropped%29.jpg,Wikimedia Commons,"Hyloxalus anthracinus is a species of frog in the family Dendrobatidae. It is endemic to Ecuador and occurs on the Cordillera Oriental and in the Mazán River, southern Ecuador.",0a582c63-70b6-42d0-be95-86966fdc6030
Amazon and Guianas,Phrynopus juninensis,,AMPHIBIA,CR,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/7/76/Phrynopus_juninensis.jpg,Wikimedia Commons,"Phrynopus juninensis is a species of frog in the family Strabomantidae. It is endemic to Peru and only known from Cascas near Huasihuasi, Department of Junín. Records from Department of Pasco probably belong to another species. Common name Junin Andes frog has been proposed for this species.",444ed583-4d8b-46ee-8082-3b236cd02232
Amazon and Guianas,Atelopus halihelos,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/5/5b/Bufo_periglenes2.jpg,Wikimedia Commons,"Atelopus halihelos, the Morona-Santiago stubfoot toad, is a species of toad in the family Bufonidae endemice to Ecuador.",30db6464-5071-4c2e-8a2d-049be0d981f0
Amazon and Guianas,Pristimantis mars,,AMPHIBIA,CR,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis mars is a species of frog in the family Strabomantidae.,8f5d7459-66b2-4a10-8dcc-3f83f3ef3d92
Amazon and Guianas,Telmatobius mendelsoni,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/9/9e/White-Lipped-small.jpg,Wikimedia Commons,Telmatobius mendelsoni is a species of frog in the family Telmatobiidae.,f26cc8d5-540c-482b-a1f1-83efaa61d72e
Amazon and Guianas,Atelopus petersi,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/b/b5/Atelopus_petersi_imported_from_iNaturalist_photo_56815472_on_4_August_2020.jpg,Wikimedia Commons,"Atelopus petersi is a species of toad in the family Bufonidae. It is endemic to Ecuador and is known from the Cordillera Oriental in the Napo Province and more provisionally, in the Chimborazo Province. The specific name petersi honors James A. Peters, an American zoologist who collected the first specimens of this species in 1962 and provided a description under the name Atelopus pachydermus. Common names Peters' stubfoot toad and Peters' jambato toad have been coined for it.",2f3ef071-5cd6-46d0-84ec-bc827ee2d421
Amazon and Guianas,Pristimantis xylochobates,,AMPHIBIA,CR,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis xylochobates is a species of frog in the family Strabomantidae.,cb84ff7c-3bad-4c2e-b0ac-f23e8dc183c6
Amazon and Guianas,Bolitoglossa chucantiensis,,AMPHIBIA,CR,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/4/4c/Pristimantis_gretathunbergae_in_bromeliad_%28Cerro_Chucant%C3%AD%29.jpg,Wikimedia Commons,"Bolitoglossa chucantiensis, referred to as the Chucantí salamander in English or salamandra de Chucantí in Spanish, is a rare species of neotropical lungless salamander in the family Plethodontidae. This species of salamander is endemic to the country of Panama and is one of numerous species of reptiles and amphibians exclusively found within the Serranía de Majé mountain range, which include Pristimantis gretathunbergae, Diasporus majeensis, and Tantilla berguidoi. The Serranía de Majé is located in the southeastern region of the cloud forests at Reserva Natural Privada Chucantí, situated in the province of Darién. The species epithet of the Chucantí salamander is derived after its type locality, Cerro Chucantí. Cerro Chucantí is the peak of the Serranía de Majé, reaching a maximum height of 1,439 meters.",cc39ddbf-3c0e-469c-8f2b-fabf1111a464
Amazon and Guianas,Hyloxalus abditaurantius,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/9/97/Poison_dart_frog_-_cobalt_tinc.jpg,Wikimedia Commons,Hyloxalus abditaurantius is a species of frog in the family Dendrobatidae.,b811c119-2e7d-468a-8f2b-10bda475cfeb
Amazon and Guianas,Hyloxalus abditaurantius,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/9/97/Poison_dart_frog_-_cobalt_tinc.jpg,Wikimedia Commons,Hyloxalus abditaurantius is a species of frog in the family Dendrobatidae.,345377b6-02a6-4baa-aed8-ab904df65d97
Amazon and Guianas,Atelopus palmatus,,AMPHIBIA,CR,Freshwater,https://upload.wikimedia.org/wikipedia/commons/3/3c/Atelopus_palmatus_67424333.jpg,Wikimedia Commons,"Atelopus palmatus is a species of toad in the family Bufonidae. It is endemic to the Cordillera Oriental of eastern Ecuador and is known from the Napo and Pastaza Provinces at elevations of 1,150–1,740 m (3,770–5,710 ft) above sea level. Its type locality is ""Rio Pastaza"".",9a841057-4b67-400a-b5b6-2a96778b3b73
Amazon and Guianas,Pristimantis vidua,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis vidua is a species of frog in the family Strabomantidae.,7ca99c8c-5804-465f-95b5-40cea790d760
Amazon and Guianas,Tepuihyla obscura,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/e/e4/Hyla_arborea.black-white-illustration_color.png,Wikimedia Commons,Tepuihyla obscura is a frog in the family Hylidae endemic to Bolivar State in Venezuela.,d21f05a9-83ff-4a6a-8e3c-d0527d172edc
Amazon and Guianas,Serranobatrachus carmelitae,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,"Serranobatrachus carmelitae, also known as Carmelita's robber frog, is a species of frog in the family Strabomantidae.",723b2c02-c092-4dad-a3c6-0efe941972ef
Amazon and Guianas,Osornophryne antisana,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/6/6b/Osornophryne_antisana_female_lateral_view_-_ZooKeys-108-073-g011.jpg,Wikimedia Commons,"Osornophryne antisana, the Napo plump toad, is a species of toad in the family Bufonidae.
It is endemic to Ecuador.
Its natural habitats are subtropical or tropical moist montane forests, subtropical or tropical high-altitude shrubland, and subtropical or tropical high-altitude grassland.
It is threatened by habitat loss.",3d4e8e9b-0cba-4310-99b4-cda892f02059
Amazon and Guianas,Pristimantis incanus,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis incanus is a species of frog in the family Strabomantidae.,8fc5b5cf-3405-43fb-bdcf-ceb7c5425e24
